ID_Estudante,Nome_Estudante,Genero,Serie,Nome_Escola,Nota_Redacao,Nota_Matematica
183,Jenna Luna,F,6,Escola A,73,91
184,Justin Contreras,M,9,Escola A,89,63
185,Mary Fox,F,8,Escola A,94,92
186,Joseph Perkins,M,7,Escola A,96,76
187,Kelly Phillips,F,9,Escola A,78,90
188,Justin Thornton,M,8,Escola A,65,61
189,Joshua Barber,M,7,Escola A,77,61
190,Travis Jackson,M,8,Escola A,86,96
191,Jordan Beasley,F,7,Escola A,96,59
192,Kevin Allen,M,9,Escola A,68,63
193,Victoria Harris,F,8,Escola A,89,59
194,Victoria Joseph,F,9,Escola A,72,56
195,Brandy Marshall,F,8,Escola A,86,60
196,Ryan Jimenez,M,8,Escola A,63,89
197,Michael Chan,M,6,Escola A,63,69
198,Christopher Phillips,M,6,Escola A,86,55
199,Kevin Murphy,M,7,Escola A,85,99
200,Vanessa Harper,F,9,Escola A,85,85
201,James Ferguson,M,6,Escola A,96,66
202,Carol Schroeder,F,9,Escola A,83,61
203,Jerry Phillips,M,7,Escola A,82,72
204,Kristin Wade,F,6,Escola A,71,56
205,Jessica Warner,F,8,Escola A,94,83
206,Dorothy Burke,F,8,Escola A,91,92
207,Bethany Walter,F,6,Escola A,88,76
208,Melissa Avery,F,6,Escola A,83,86
209,Daniel Sutton,M,8,Escola A,86,96
210,Ryan Johnson,M,6,Escola A,63,79
211,Timothy Quinn,M,7,Escola A,83,76
212,Zachary Allen,M,7,Escola A,64,87
213,Lauren Schmitt,F,9,Escola A,71,61
214,Stephanie Armstrong,F,8,Escola A,70,66
215,Ruben Rivera,M,6,Escola A,65,79
216,Patricia Petty,F,9,Escola A,79,98
217,Joseph Jacobs,M,8,Escola A,96,68
218,Bianca Wilson,F,8,Escola A,66,62
219,Donald Perez,M,6,Escola A,87,79
220,Curtis Gomez,M,6,Escola A,77,77
221,Courtney Brown,F,6,Escola A,90,88
222,Nicole Randall,F,6,Escola A,94,78
223,Steven Lambert,M,8,Escola A,64,56
224,Anthony Alvarez,M,7,Escola A,93,90
225,Shawn Farrell,M,7,Escola A,89,87
226,Jesus Schmidt,M,6,Escola A,80,76
227,Laura Wright,F,9,Escola A,89,69
228,Steven Smith,M,8,Escola A,66,65
229,Norman Thompson,M,6,Escola A,99,78
230,Anthony Wright,M,7,Escola A,76,64
231,Kayla Watts,F,8,Escola A,74,89
232,Aimee Johnson,F,6,Escola A,97,55
233,Heidi Scott,F,9,Escola A,77,98
234,Anthony Williams,M,7,Escola A,78,93
235,Sarah Hill,F,9,Escola A,88,97
236,Kim Wang,F,6,Escola A,90,71
237,Beth Manning,F,8,Escola A,88,92
238,Ryan Hanson,M,9,Escola A,87,83
239,James Wood,M,6,Escola A,70,81
240,Corey Greene,M,7,Escola A,70,94
241,John Carter,M,8,Escola A,95,83
242,Beth Garza,F,8,Escola A,75,92
243,Karen Jones,F,6,Escola A,78,96
244,Stephanie Poole,F,7,Escola A,95,59
245,Lisa Brown,F,6,Escola A,99,72
246,Paul Scott,M,7,Escola A,64,78
247,Evelyn Buck,F,7,Escola A,68,60
248,Terry Harrell,M,6,Escola A,86,69
249,Leah Skinner,F,8,Escola A,70,79
250,Anthony Mercado,M,8,Escola A,95,97
251,Walter Kelly,M,6,Escola A,80,78
252,Lori Evans,F,7,Escola A,99,66
253,Ashley Jones,F,9,Escola A,96,72
254,Amber Soto,F,6,Escola A,82,60
255,Patrick Phillips,M,7,Escola A,64,62
256,Linda Curry,F,8,Escola A,74,76
257,Alexander Obrien,M,7,Escola A,68,90
258,Vincent Garza,M,7,Escola A,97,61
259,Terry Marsh,M,8,Escola A,99,69
260,Angela Perkins DVM,F,8,Escola A,76,56
261,Peter Hampton,M,6,Escola A,83,97
262,David Cross,M,8,Escola A,68,61
263,Clinton Ortega,M,7,Escola A,93,62
264,Jamie Escobar,F,7,Escola A,91,91
265,Sandra Mason,F,9,Escola A,76,83
266,Craig Cole,M,9,Escola A,83,92
267,Lisa Warren,F,9,Escola A,70,81
268,Maria Howard,F,6,Escola A,74,91
269,Michael Porter,M,8,Escola A,86,68
270,John Turner,M,8,Escola A,78,99
271,Timothy Wang,M,9,Escola A,93,75
272,Amanda Taylor,F,6,Escola A,73,58
273,Karen Mckenzie,F,6,Escola A,82,64
274,Brandon Miles,M,8,Escola A,98,76
275,Christina Whitaker,F,9,Escola A,86,89
276,Nicole Peterson,F,6,Escola A,78,98
277,Ashley Moore,F,6,Escola A,67,74
278,Todd Carrillo,M,7,Escola A,80,99
279,Robert Williams,M,7,Escola A,63,68
280,Ashley Jones,F,6,Escola A,92,72
281,Vanessa Parker,F,6,Escola A,67,78
282,Robert Carlson,M,9,Escola A,73,82
283,Jared Lewis,M,7,Escola A,77,56
284,Christopher Hernandez,M,7,Escola A,92,64
285,Kimberly Harris,F,6,Escola A,66,59
286,Katrina Hill,F,7,Escola A,73,73
287,Heather Lee,F,6,Escola A,71,69
288,Donald Harmon,M,8,Escola A,63,67
289,Elizabeth Sanders,F,7,Escola A,82,64
290,Richard Ramsey,M,9,Escola A,80,60
291,Carmen Johnson,F,9,Escola A,89,79
292,Elaine Osborne,F,7,Escola A,91,69
293,Kent Burns,M,6,Escola A,81,72
294,Meagan Smith,F,8,Escola A,67,87
295,Craig Hahn,M,6,Escola A,92,73
296,Jeremy Wu,M,8,Escola A,72,81
297,Aaron Rodriguez,M,8,Escola A,75,78
298,Matthew Taylor,M,7,Escola A,64,63
299,Diana Evans,F,8,Escola A,96,94
300,Michele Pearson,F,9,Escola A,89,98
301,Erik Wagner,M,9,Escola A,92,61
302,Maria Welch,F,9,Escola A,74,97
303,Debra Martin,F,9,Escola A,68,55
304,Devon Conner,M,6,Escola A,91,89
305,Christine Patel,F,6,Escola A,99,94
306,David Lopez,M,6,Escola A,95,95
307,Nathan Baird,M,8,Escola A,68,59
308,Samuel Castillo,M,8,Escola A,98,57
309,Rebecca Payne,F,8,Escola A,77,66
310,Carl Johnson,M,7,Escola A,64,95
311,William Adams,M,9,Escola A,85,82
312,Paula Harrison,F,8,Escola A,81,91
313,Wayne Atkinson,M,8,Escola A,86,63
314,Lindsay Frank,F,6,Escola A,92,66
315,Jose Garcia,M,7,Escola A,67,84
316,Andrew Gaines,M,9,Escola A,68,87
317,Rachael Liu,F,7,Escola A,77,79
318,Donald Lewis,M,8,Escola A,72,72
319,Shane Edwards,M,6,Escola A,74,59
320,Todd Levy,M,9,Escola A,91,94
321,Joanna Moore,F,7,Escola A,84,66
322,Michael Lewis,M,6,Escola A,98,90
323,James Robinson,M,6,Escola A,91,60
324,Jeffrey Arellano,M,6,Escola A,89,87
325,Heather Allen MD,F,8,Escola A,96,94
326,Lori Villarreal,F,6,Escola A,66,81
327,Robert Harper,M,9,Escola A,78,85
328,Karen Villegas,F,6,Escola A,76,57
329,Tracey Crane,F,6,Escola A,77,97
330,Elizabeth Allen,F,6,Escola A,73,77
331,Jorge Lynn,M,8,Escola A,93,66
332,Harold Gordon,M,8,Escola A,98,66
333,Nicholas Mcclain,M,6,Escola A,76,90
334,Tanya Harris,F,8,Escola A,85,86
335,Amy Smith,F,9,Escola A,93,93
336,Kathy Morse,F,8,Escola A,64,91
337,Andrea Wood,F,7,Escola A,77,70
338,Maureen Massey,F,6,Escola A,98,76
339,Daniel Smith,M,8,Escola A,66,81
340,Alexandra Smith,F,8,Escola A,78,77
341,Caitlin Hall,F,8,Escola A,72,58
342,Jose Carlson,M,8,Escola A,90,91
343,Deborah Macias,F,6,Escola A,90,87
344,Dwayne Rice,M,8,Escola A,99,78
345,Matthew Harris,M,7,Escola A,69,80
346,Eric Bowman,M,6,Escola A,80,94
347,Samuel Ali,M,6,Escola A,66,91
348,David Miller,M,9,Escola A,70,92
349,James Moreno,M,8,Escola A,89,63
350,Brooke Austin,F,8,Escola A,78,98
351,Alisha Martin,F,7,Escola A,65,68
352,Neil Rodriguez,M,7,Escola A,98,69
353,Gary Williams,M,7,Escola A,73,56
354,Michael Pittman,M,9,Escola A,89,60
355,Stephanie Palmer,F,7,Escola A,85,91
356,Christine Perry,F,8,Escola A,92,97
357,Suzanne David,F,7,Escola A,83,62
358,Amber Smith,F,9,Escola A,82,75
359,Ryan Jones,M,6,Escola A,94,62
360,Emily Ford,F,6,Escola A,79,61
361,Kelsey Shea,F,9,Escola A,85,66
362,Katherine Wallace,F,9,Escola A,65,56
363,Erica Conway,F,8,Escola A,79,72
364,Tyler Parker,M,8,Escola A,88,56
365,Michael Parks,M,6,Escola A,93,58
366,Elizabeth Hunt,F,9,Escola A,91,58
367,Grant Jackson,M,8,Escola A,78,61
368,Daniel Matthews,M,6,Escola A,78,78
369,Diana Silva,F,6,Escola A,69,82
370,Frank Garza,M,8,Escola A,84,95
371,Terri Fischer,F,7,Escola A,68,55
372,Robert Goodwin,M,9,Escola A,95,92
373,Bobby Ruiz,M,7,Escola A,65,97
374,Stephanie Taylor,F,9,Escola A,75,97
375,Erin Hill,F,7,Escola A,68,98
376,Erin Cohen,F,7,Escola A,71,74
377,Jeffrey Morris,M,6,Escola A,84,57
378,Elizabeth Simpson,F,7,Escola A,97,63
379,Jennifer Davis,F,8,Escola A,96,68
380,Rachel Burton,F,6,Escola A,75,75
381,Joseph Wilkins,M,6,Escola A,66,95
382,Lawrence Montgomery,M,8,Escola A,87,70
383,Patricia Howard,F,8,Escola A,70,65
384,Jessica Hanson,F,8,Escola A,84,55
385,Donna Dean,F,7,Escola A,98,77
386,Edwin Reid,M,6,Escola A,69,57
387,Jodi Brown,F,9,Escola A,70,85
388,Elizabeth Richard,F,6,Escola A,90,88
389,Aaron Martinez,M,6,Escola A,85,72
390,Stephen Fischer,M,6,Escola A,81,88
391,Diana Reeves,F,8,Escola A,86,83
392,Jeffrey Eaton,M,7,Escola A,99,90
393,Evelyn Miller,F,6,Escola A,65,71
394,Christopher Kidd,M,6,Escola A,97,55
395,Sarah Adams,F,6,Escola A,91,62
396,Melinda Nelson,F,9,Escola A,75,82
397,Kevin Brooks,M,8,Escola A,78,72
398,John Bowen,M,9,Escola A,77,56
399,Tracie Abbott,F,9,Escola A,72,69
400,Allen Foster,M,8,Escola A,93,65
401,Kathryn Elliott,F,9,Escola A,63,91
402,Christopher Walker,M,9,Escola A,94,66
403,Cynthia Martin,F,8,Escola A,67,59
404,Amanda Bennett,F,8,Escola A,88,97
405,Dennis Padilla,M,8,Escola A,92,93
406,Antonio Miller,M,8,Escola A,63,63
407,Melissa Trevino,F,8,Escola A,71,56
408,Andrew King,M,7,Escola A,99,80
409,John Martinez,M,8,Escola A,68,76
410,Lauren King,F,6,Escola A,74,82
411,Stephanie Mercado,F,6,Escola A,93,98
412,William Smith,M,8,Escola A,69,94
413,Jonathan Marshall,M,9,Escola A,86,72
414,Luke Lowery MD,M,7,Escola A,93,82
415,Emily Reynolds,F,6,Escola A,88,99
416,Kevin Mclean,M,6,Escola A,86,80
417,Elizabeth Taylor,F,8,Escola A,97,84
418,Pamela Rivas,F,8,Escola A,84,58
419,Tammy Martin,F,6,Escola A,84,64
420,Holly Watkins,F,6,Escola A,81,74
421,Patrick Chen,M,6,Escola A,67,79
422,Michelle Griffin,F,7,Escola A,85,81
423,Theresa Andrews,F,9,Escola A,65,58
424,Alan Henry,M,6,Escola A,63,81
425,Larry Hines,M,7,Escola A,91,59
426,Travis Frazier,M,9,Escola A,75,68
427,Julie Jones,F,9,Escola A,74,68
428,Natalie Reynolds,F,7,Escola A,77,70
429,Jessica Cohen,F,7,Escola A,69,98
430,Jason Robinson,M,9,Escola A,69,95
431,Heather Palmer,F,6,Escola A,78,57
432,Emily Cardenas MD,F,7,Escola A,77,87
433,Scott Glover,M,9,Escola A,65,92
434,Jacqueline White,F,9,Escola A,68,67
435,Elizabeth Espinoza DDS,F,6,Escola A,76,75
436,Toni Porter,F,8,Escola A,92,72
437,Jennifer Mejia,F,8,Escola A,90,59
438,Brenda Peterson,F,7,Escola A,75,78
439,Paul Hamilton,M,6,Escola A,73,72
440,Patricia Nguyen,F,8,Escola A,83,56
441,James Ho,M,9,Escola A,86,61
442,Elizabeth Cohen,F,7,Escola A,97,61
443,Stephanie Lane,F,6,Escola A,70,57
444,Dawn Rhodes,F,9,Escola A,67,66
445,Theresa Robinson,F,7,Escola A,63,65
446,Breanna Mosley,F,6,Escola A,85,79
447,Carmen Wilson,F,7,Escola A,69,92
448,Ian Brown,M,6,Escola A,77,71
449,Kathleen Matthews,F,8,Escola A,96,60
450,Bryan Diaz,M,8,Escola A,64,84
451,Gina Sweeney,F,8,Escola A,81,59
452,Alan Garcia,M,7,Escola A,88,60
453,Erik Wheeler,M,7,Escola A,94,58
454,Stephanie Robles,F,6,Escola A,83,95
455,Samantha Hanson,F,6,Escola A,83,61
456,Christopher Williams,M,8,Escola A,89,83
457,Stephanie Hart,F,9,Escola A,94,63
458,Lisa Becker,F,8,Escola A,84,68
459,Bianca Johnson,F,6,Escola A,92,68
460,Amy Steele,F,9,Escola A,67,63
461,Gina Contreras,F,6,Escola A,92,92
462,Jaime Alexander,F,7,Escola A,93,77
463,Kevin Coleman,M,9,Escola A,88,77
464,Caitlin Williams,F,7,Escola A,98,79
465,Joseph Lloyd,M,6,Escola A,81,89
466,Carrie Hernandez,F,8,Escola A,86,92
467,Travis Young,M,7,Escola A,81,61
468,Francis Wright,M,9,Escola A,63,92
469,Joel Harper,M,6,Escola A,99,94
470,Eduardo Park,M,6,Escola A,67,62
471,Melissa Yoder,F,7,Escola A,95,74
472,Donna Campbell,F,6,Escola A,82,64
473,Connie Delacruz,F,6,Escola A,64,58
474,Luis Parker,M,6,Escola A,89,95
475,Pamela Watts,F,8,Escola A,82,58
476,Lindsey Mitchell,F,7,Escola A,72,89
477,Brenda Price,F,7,Escola A,79,75
478,Joseph Howard,M,7,Escola A,90,61
479,Amy Evans,F,7,Escola A,92,73
480,Paula Fernandez DVM,F,6,Escola A,69,96
481,Amber Cunningham,F,8,Escola A,97,86
482,Preston Wheeler,M,7,Escola A,65,56
483,James Lopez,M,6,Escola A,68,89
484,Chad Drake,M,8,Escola A,67,99
485,Samuel Blackburn,M,8,Escola A,73,96
486,Shawn Nielsen,M,6,Escola A,86,81
487,Eric Perez,M,7,Escola A,83,67
488,Kevin Montgomery,M,9,Escola A,67,81
489,Terry Thomas,M,6,Escola A,88,65
490,Kim Meyer,F,6,Escola A,92,66
491,Michael Townsend,M,7,Escola A,95,78
492,Ronnie Rodriguez,M,7,Escola A,71,79
493,Savannah Smith,F,7,Escola A,95,79
494,Shane Nguyen,M,7,Escola A,74,65
495,Michael Brown,M,9,Escola A,99,71
496,Robert Young,M,6,Escola A,70,72
497,Daniel Griffin,M,6,Escola A,74,98
498,James Johnson,M,8,Escola A,73,80
499,Mary Cox,F,7,Escola A,97,79
500,Tina Aguirre,F,7,Escola A,86,90
501,Jillian Mcdonald,F,6,Escola A,64,70
502,Matthew Branch,M,7,Escola A,71,89
503,Christopher Jordan,M,8,Escola A,78,84
504,Victor Mcguire,M,8,Escola A,93,94
505,Erin Arnold,F,7,Escola A,96,78
506,Nicholas Wu,M,7,Escola A,85,74
507,Kristen Wilson,F,9,Escola A,72,89
508,Morgan Moore,F,7,Escola A,63,84
509,Stephen Smith,M,6,Escola A,90,90
510,Jeremy Romero,M,7,Escola A,76,58
511,Julie Bush,F,6,Escola A,96,97
512,Brittany Taylor,F,8,Escola A,81,58
513,James Kim,M,7,Escola A,89,70
514,Ashley Roberts,F,7,Escola A,93,66
515,Brandon Johnson,M,7,Escola A,80,74
516,David Davenport,M,9,Escola A,89,61
517,Mark Washington,M,6,Escola A,84,78
518,Alicia Marshall,F,6,Escola A,97,84
519,Barbara Santana,F,9,Escola A,90,69
520,Samantha Parker,F,7,Escola A,88,72
521,Joseph Walters,M,8,Escola A,82,76
522,Michael Zamora,M,8,Escola A,96,94
523,Kyle Cobb,M,8,Escola A,72,87
524,Jill Clark,F,7,Escola A,76,92
525,Sarah Warren,F,8,Escola A,93,91
526,Jennifer Robinson,F,7,Escola A,89,85
527,Patricia Johnson,F,8,Escola A,79,68
528,Henry Evans,M,7,Escola A,68,88
529,Alexander Ramsey,M,7,Escola A,63,90
530,Brandon Stephens,M,7,Escola A,89,94
531,Jeff Holland,M,6,Escola A,72,79
532,Samuel Schultz,M,7,Escola A,93,93
533,Brett Johnson,M,8,Escola A,66,72
534,Daniel Sherman,M,9,Escola A,64,63
535,Justin Mccall,M,8,Escola A,81,56
536,Jonathan Evans,M,6,Escola A,99,83
537,Jacqueline Kennedy,F,8,Escola A,63,69
538,Martin Stephenson,M,7,Escola A,96,63
539,Lindsey Lane,F,6,Escola A,90,81
540,Jessica Hart,F,7,Escola A,95,98
541,Edward Lucas,M,7,Escola A,76,98
542,Lisa Osborne,F,6,Escola A,86,69
543,Hannah Black,F,6,Escola A,80,94
544,Alexander Paul,M,6,Escola A,72,65
545,Brenda Wong,F,9,Escola A,63,78
546,Thomas Delgado,M,9,Escola A,86,80
547,Jeremy Sutton,M,6,Escola A,74,95
548,Paula Donaldson,F,6,Escola A,64,85
549,Valerie Thompson,F,6,Escola A,97,94
550,John Schaefer,M,9,Escola A,96,86
551,Jesus Manning,M,8,Escola A,73,95
552,Tyrone Lawson,M,7,Escola A,73,87
553,Carl May,M,7,Escola A,72,58
554,Brittany Russell,F,9,Escola A,67,55
555,Philip Edwards,M,6,Escola A,64,55
556,Robert Aguilar,M,6,Escola A,88,82
557,Aaron Russo,M,7,Escola A,92,60
558,Tracy Andrade,M,6,Escola A,96,77
559,Amy Sullivan,F,9,Escola A,73,60
560,Howard Beck,M,7,Escola A,79,65
561,Xavier Bell II,M,8,Escola A,84,91
562,Dawn Schultz,F,7,Escola A,96,88
563,Caleb Lucas,M,9,Escola A,74,68
564,Barbara Gonzalez,F,7,Escola A,94,92
565,Charles Yang,M,7,Escola A,79,70
566,David Gallagher,M,9,Escola A,77,79
567,Bethany Vargas,F,8,Escola A,91,87
568,Jennifer Schultz,F,9,Escola A,81,74
569,Paula Marshall,F,6,Escola A,76,66
570,Jordan Elliott,M,8,Escola A,89,69
571,Samantha Mcmillan,F,9,Escola A,77,56
572,Judith Johnson,F,6,Escola A,77,56
573,Grace Palmer,F,7,Escola A,91,73
574,Brandon Ramirez,M,7,Escola A,93,96
575,Carol Smith,F,7,Escola A,72,87
576,Matthew Odom,M,6,Escola A,91,90
577,Erika Gray,F,7,Escola A,79,62
578,Donna Kramer,F,8,Escola A,85,86
579,Jonathan Snyder,M,7,Escola A,71,78
580,Frank Howe,M,8,Escola A,80,89
581,Amy Beck,F,6,Escola A,83,83
582,Lori Holmes,F,6,Escola A,72,94
583,Rebekah Hampton,F,8,Escola A,77,81
584,Perry Bishop,M,6,Escola A,85,73
585,Andrew Hanson MD,M,9,Escola A,73,73
586,Jody Hughes,F,8,Escola A,96,76
587,Anna Garcia,F,8,Escola A,78,97
588,Colleen Walker,F,8,Escola A,90,74
589,Danny Bridges,M,8,Escola A,83,66
590,Kristina Ford,F,7,Escola A,92,75
591,Sabrina Davidson,F,6,Escola A,93,68
592,Alexander Freeman,M,6,Escola A,73,86
593,Jack Davis,M,6,Escola A,63,93
